"CONTEST_CODE","CANDIDATE_CODE","CANDIDATE_NAME","PARTIES_CODE"
"00399000","9900030082","ABALOS, BENHUR (PFP)","38"
"00399000","9900030040","ADONIS, JEROME (MKBYN)","30"
"00399000","9900030073","AMAD, WILSON (IND)","99999"
"00399000","9900030042","ANDAMO, NARS ALYN (MKBYN)","30"
"00399000","9900030088","AQUINO, BAM (KNP)","23"
"00399000","9900030041","ARAMBULO, RONNEL (MKBYN)","30"
"00399000","9900030075","ARELLANO, ERNESTO (KTPNAN)","22"
"00399000","9900030089","BALLON, ROBERTO (IND)","99999"
"00399000","9900030052","BINAY, ABBY (NPC)","34"
"00399000","9900030071","BONDOC, JIMMY (PDPLBN)","36"
"00399000","9900030092","BONG REVILLA,RAMON, JR.(LAKAS)","28"
"00399000","9900030054","BOSITA, COLONEL (IND)","99999"
"00399000","9900030043","BROSAS, ARLENE (MKBYN)","30"
"00399000","9900030145","CABONEGRO, ROY (DPP)","16"
"00399000","9900030113","CAPUYAN, ALLEN (PPP)","44"
"00399000","9900030044","CASIÑO, TEDDY (MKBYN)","30"
"00399000","9900030045","CASTRO, TEACHER FRANCE (MKBYN)","30"
"00399000","9900030078","CAYETANO, PIA (NP)","31"
"00399000","9900030120","D'ANGELO, DAVID (BUNYOG)","229"
"00399000","9900030110","DE ALBAN,ATTORNEY ANGELO (IND)","99999"
"00399000","9900030057","DE GUZMAN, KA LEODY (PLM)","39"
"00399000","9900030031","DELA ROSA, BATO (PDPLBN)","36"
"00399000","9900030046","DORINGO, NANAY MIMI (MKBYN)","30"
"00399000","9900030093","ESCOBAL, ARNEL (PM)","40"
"00399000","9900030056","ESPIRITU, LUKE (PLM)","39"
"00399000","9900030047","FLORANDA, MODY PISTON (MKBYN)","30"
"00399000","9900030015","GAMBOA, MARC LOUIE (IND)","99999"
"00399000","9900030032","GO, BONG GO    (PDPLBN)","36"
"00399000","9900030086","GONZALES, NORBERTO (PDSP)","37"
"00399000","9900030083","HINLO, JAYVEE (PDPLBN)","36"
"00399000","9900030079","HONASAN, GRINGO (RP)","49"
"00399000","9900030068","JOSE, RELLY JR. (KBL)","25"
"00399000","9900030021","LACSON, PING (IND)","99999"
"00399000","9900030097","LAMBINO,  RAUL  (PDPLBN)","36"
"00399000","9900030022","LAPID, LITO (NPC)","34"
"00399000","9900030001","LEE, MANOY WILBERT (AKSYON)","3"
"00399000","9900030049","LIDASAN, AMIRAH (MKBYN)","30"
"00399000","9900030134","MARCOLETA, RODANTE (IND)","99999"
"00399000","9900030019","MARCOS, IMEE R. (NP)","31"
"00399000","9900030013","MARQUEZ, NORMAN (IND)","99999"
"00399000","9900030158","MARTINEZ, ERIC (IND)","99999"
"00399000","9900030084","MATA, DOC MARITES (IND)","99999"
"00399000","9900030066","MATULA,  ATTY.  SONNY (WPP)","55"
"00399000","9900030048","MAZA, LIZA (MKBYN)","30"
"00399000","9900030144","MENDOZA, HEIDI (IND)","99999"
"00399000","9900030004","MONTEMAYOR,  JOEY  (IND)","99999"
"00399000","9900030183","MUSTAPHA, SUBAIR (WPP)","55"
"00399000","9900030006","OLIVAR, JOSE JESSIE (IND)","99999"
"00399000","9900030030","ONG, DOC WILLIE (AKSYON)","3"
"00399000","9900030099","PACQUIAO, MANNY PACMAN (PFP)","38"
"00399000","9900030155","PANGILINAN, KIKO (LP)","29"
"00399000","9900030080","QUERUBIN,  ARIEL PORFIRIO (NP)","31"
"00399000","9900030160","QUIBOLOY, APOLLO (IND)","99999"
"00399000","9900030050","RAMOS, DANILO (MKBYN)","30"
"00399000","9900030182","REVILLAME, WILLIE WIL (IND)","99999"
"00399000","9900030169","RODRIGUEZ, ATTY. VIC (IND)","99999"
"00399000","9900030085","SAHIDULLA, NUR-ANA (IND)","99999"
"00399000","9900030033","SALVADOR, PHILLIP IPE (PDPLBN)","36"
"00399000","9900030020","SOTTO, TITO (NPC)","34"
"00399000","9900030095","TAPADO, MICHAEL BONGBONG (PM)","40"
"00399000","9900030010","TOLENTINO, FRANCIS TOL (PFP)","38"
"00399000","9900030063","TULFO, BEN BITAG (IND)","99999"
"00399000","9900030077","TULFO, ERWIN (LAKAS)","28"
"00399000","9900030105","VALBUENA, MAR MANIBELA (IND)","99999"
"00399000","9900030131","VERCELES, LEANDRO (IND)","99999"
"00399000","9900030051","VILLAR, CAMILLE (NP)","31"
"00401000","0100040002","BERNOS, KIKO (ASENSO)","99998"
"00401000","0100040001","BERSAMIN, TAKIT (PFP)","38"
"00402000","0200040001","AMANTE, ANGEL (PDPLBN)","36"
"00402000","0200040002","PELIGRINO, EMON (IND)","99999"
"00403000","0300040001","CANE, SANTI (NUP)","33"
"00403000","0300040002","ENGLES, EDGARD (IND)","99999"
"00404000","0400040001","MIRAFLORES, JO-EN (LAKAS)","28"
"00404000","0400040003","TEODOSIO, PIER (IND)","99999"
"00404000","0400040002","TOLENTINO, WILLIE (IND)","99999"
"00405000","0500040002","ROSAL, NOEL (PDPLBN)","36"
"00405000","0500040001","SALCEDA, JOEY (LAKAS)","28"
"00405000","0500040004","SARA, ROSALER JR. (IND)","99999"
