"PARTIES_CODE","PARTIES_NAME","PARTIES_ALIAS"
"1","ABAG PROMDI","ABAG PROMDI"
"10","BANGON PILIPINAS","BP"
"100","BASILAN UNITY PARTY","BUP"
"100000","AL-ITTIHAD - UNGAYA SA KAWAGIB NU BANGSAMORO",""
"100001","ANG KATIPUNAN PARA SA PAG-ANGAT AT PAG-YABONG NG BAYAN (AKAY)",""
"100002","ANG KATIPUNAN PARA SA PAG-ANGAT AT PAG-YABONG NG BAYAN (AKAY) NATIONAL POLITICAL PARTY",""
"100003","ANG KATIPUNAN PARA SA PAG-ANGAT AT PAG-YABONG NG BAYAN(AKAY) NATIONAL POLITICAL PARTY",""
"100004","BARMM GRAND COALITION ",""
"100005","FILIPINO RIGHTS PROTECTION ADVOCATES OF MANILA MOVEMENT (FRONTLINERS ANG BIDA)",""
"100006","GALING AT SERBISYO PARA SA MINDOREÑO",""
"100007","KUSOG KALAMBUAN",""
"100008","LAKAS CHRISTIAN MUSLIM DEMOCRATS / ONE CEBU",""
"100009","LAKAS CHRISTIAN MUSLIM DEMOCRATS/UNITED NEGROS ALLIANCE",""
"100010","LAKAS-CMD/UNEGA",""
"100011","LAKAS-CMD/UNITED NEGROS ALLIANCE",""
"100012","MAKABAYAN",""
"100013","MAKIMAZA",""
"100014","N/A",""
"100015","NATIONAL UNITY PARTY - UNITED NEGROS ALLIANCE",""
"100016","NATIONAL UNITY PARTY / UNITED NEGROS ALLIANCE",""
"100017","NATIONAL UNITY PARTY/ UNITED NEGROS ALLIANCE",""
"100018","NATIONAL UNITY PARTY/UNITED NEGROS ALLIANCE",""
"100019","NATIONAL UNITY PARTYUNITED NEGROS ALLIANCE",""
"100020","NATIONALIST PEOPLE'S COALITION / ONE CEBU",""
"100021","NATIONALISTA PARTY",""
"100022","NONE",""
"100023","NOT APPLICABLE",""
"100024","NUP/UNEGA",""
"100025","ONE CEBU / AKSYON DEMOKRATIKO",""
"100026","ONE CEBU / LAKAS CHRISTIAN MUSLIM DEMOCRATS",""
"100027","ONE CEBU / NATIONALIST PEOPLE'S COALITION",""
"100028","ONE CEBU, NATIONALIST PEOPLE'S COALITION",""
"100029","ONE CEBU/LAKAS CHRISTIAN MUSLIM DEMOCRATS",""
"100030","ONE CEBU/NATIONAL UNITY PARTY ",""
"100031","ONE CEBU/NATIONALIST PEOPLE'S COALITION",""
"100032","PARTIDO FEDERAL NG PILIPINAS/UNITED NEGROS ALLIANCE",""
